('ENO2', 246503.89837566693)
('HHF1', 12040.198350727069)
('HGH1', 8574.669008091514)
('RPL12A', 7283.211669559457)
('PRO2', 5734.188140869141)
('YMR295C', 5191.05128528315)
('TOS1', 5021.185236313764)
('HMO1', 4957.167230095662)
('VHS2', 4315.482482910156)
('TFC7', 3862.8145130637163)
('YNL040W', 3725.484314465132)
('HHO1', 3611.380301365139)
('NPR2', 3557.485145716133)
('LYP1', 3382.6740806102753)
('MAC1', 3284.987765984786)
('RTT109', 3284.2501402410844)
('SRP21', 3134.4220319614733)
('PRY3', 2924.1370998700613)
('SPC98', 2813.590030184659)
('SEY1', 2766.183071443241)
('YHR149C', 2633.7430493875154)
('BUD14', 2620.83575226102)
('QNS1', 2610.483137549719)
('VPS20', 2541.858982302947)
('TBF1', 2523.5790143547188)
('SWI6', 2517.955145741264)
('VRP1', 2488.344433919556)
('DID4', 2483.65806442607)
('DOA1', 2478.212846215157)
('UBP6', 2450.8222553056876)
('SWI3', 2421.9451824593143)
('NUT1', 2411.7276929562836)
('SOK2', 2405.1860762428846)
('FCP1', 2383.0775632310188)
('TFG1', 2381.8212019873386)
('PXL1', 2365.9636454326637)
('YBL111C', 2341.202597486746)
('RAD3', 2303.849482788344)
('SEC1', 2294.0128667762024)
('HOS3', 2286.104798092785)
('SET3', 2278.7714940378805)
('CDC53', 2240.6543789190305)
('MSS4', 2231.178190139704)
('SNF12', 2226.6843469628006)
('MCD1', 2188.554303967632)
('GAA1', 2181.0573058324785)
('SPC34', 2166.062477796453)
('YNR048W', 2165.5503970621485)
('PPZ2', 2145.738576064691)
('APL3', 2144.2333901584357)
('NDD1', 2125.766802945747)
('TOS11', 2124.9916513875646)
('YGR150C', 2122.162737472281)
('RGD2', 2118.0177372986195)
('SAS3', 2087.6227323362923)
('NGG1', 2073.1464534326446)
('RNR3', 2063.6510113986596)
('SRC1', 2061.9313298091247)
('TOS7', 2045.686929036126)
('YTA6', 2044.7618511351116)
('BIT89', 2036.6147632805448)
('RTT101', 2032.1772414243937)
('CDC5', 2024.8725776750823)
('GIS1', 2001.8072626630305)
('TID3', 1996.5288443945972)
('YGR237C', 1989.9035225676594)
('KAR3', 1988.28148473021)
('BUD21', 1980.261432581707)
('RRM3', 1978.9467335062313)
('APG13', 1975.566597151444)
('TOF2', 1974.2187940443116)
('DIG1', 1958.9032790967883)
('YMR102C', 1956.5868342793435)
('RPP1', 1956.3028225535938)
('SPC97', 1955.7485109384625)
('MNN1', 1952.948205205491)
('STB5', 1950.565069105483)
('PRP6', 1943.536498049842)
('ACE2', 1940.0135984147855)
('YKR027W', 1939.1619883644132)
('IOC4', 1933.5413293948118)
('HLR1', 1933.3252281271277)
('DHR2', 1932.4056528278368)
('HIR2', 1931.9389312177582)
('HSF1', 1924.10172371316)
('UBP14', 1920.422975913041)
('HFI1', 1915.6821212670532)
('MRE11', 1914.943056449677)
('HSL7', 1908.526633197151)
('MAG2', 1900.7759238428719)
('XDJ1', 1895.8108794811815)
('POP1', 1890.3046334329938)
('KEL2', 1880.990193331747)
('SCW11', 1880.6184540795373)
('EPL1', 1879.8230226697096)
('GPB2', 1878.9617707992975)
('DUN1', 1878.4707506506572)
('SLI15', 1871.6378256545174)
('SLK19', 1871.332255903078)
('DUS1', 1869.3241215101477)
('YNL311C', 1866.1090151651972)
('ELG1', 1865.6416912803834)
('VPS72', 1856.9604776324827)
('VPS16', 1854.8015531261717)
('CTF18', 1853.8407020928464)
('NUD1', 1852.8831797858397)
('ARP1', 1851.132553866961)
('AXL2', 1850.2291818592937)
('PMT2', 1844.3978835161995)
('YBL086C', 1843.7354009106507)
('GID7', 1841.3393967735083)
('SOK1', 1840.831439979851)
('YKL222C', 1831.0461431083531)
('MET30', 1830.3472002721421)
('TEA1', 1828.1868619664392)
('SPT21', 1826.9209350716076)
('CDC40', 1825.5925126021898)
('ZIP2', 1824.3096770392524)
('SAP1', 1816.570762377462)
('CPR8', 1813.1272669133223)
('GSH2', 1809.4021029625164)
('MSB1', 1808.3810806251674)
('SLX4', 1808.365800660232)
('ERB1', 1800.6322460194353)
('PTP2', 1798.4825859498442)
('MSL1', 1797.1900132047724)
('YLL054C', 1793.6852365840016)
('HEM14', 1793.6241498133668)
('MTC2', 1785.4240358173633)
('CDC45', 1783.9247085306326)
('ESC8', 1783.8247787110438)
('PRP9', 1781.659386006847)
('ALD2', 1779.4129821955748)
('RAD4', 1776.6441107632115)
('PCL10', 1776.6035215177192)
('RPH1', 1767.9097879433273)
('PMP1', 1766.0337986588586)
('CPR4', 1761.9235925113996)
('YDR089W', 1761.7977577934944)
('YRM1', 1761.4922309343813)
('XRS2', 1759.7798509868605)
('SUV3', 1759.6388244164878)
('YPL017C', 1759.5390748333866)
('NUF2', 1757.9254468726956)
('ESC2', 1755.1842264653997)
('HMS2', 1750.374888095104)
('UBP9', 1746.2178096798143)
('YBR014C', 1746.0623052698393)
('YKR021W', 1744.1485100138746)
('CLN2', 1743.8095106227245)
('YLR065C', 1742.996783121246)
('STE18', 1739.6699516119404)
('SST2', 1738.5145776405695)
('RAD53', 1738.486594364561)
('YHL026C', 1738.2436450745415)
('GYP6', 1738.2090121332635)
('YHR202W', 1733.164042073208)
('ZAP1', 1732.2365543874992)
('DBF4', 1732.0789853778776)
('GYP5', 1727.646083590685)
('ECM22', 1727.577867712781)
('PAM1', 1723.8881443867244)
('YKL187C', 1723.271896854848)
('LEU3', 1719.5181048234738)
('RAD54', 1710.5627873157575)
('AZF1', 1706.4106581285087)
('YKL075C', 1705.5236663379403)
('BCK2', 1703.2599269350242)
('YLR149C', 1699.4510384336893)
('YNL095C', 1697.2639884202138)
('SLX8', 1695.7542217896316)
('ASE1', 1694.5037130833066)
('YMR163C', 1689.3990522549004)
('CBS2', 1687.1451586108394)
('COX5B', 1686.9588884495588)
('RHO4', 1685.399077491748)
('DOT1', 1683.9255683870244)
('UME1', 1679.8491608348138)
('CSM3', 1672.8366768713277)
('XBP1', 1672.0476829784143)
('NFI1', 1668.9688740337285)
('ARG81', 1663.8260094269706)
('SNU56', 1662.9032978912628)
('YPL109C', 1662.2461430175642)
('YJR119C', 1662.0625813190334)
('STP2', 1661.7406684987138)
('GCN4', 1661.7285243093374)
('POT1', 1660.9075401966634)
('KKQ8', 1659.173796172731)
('YDL146W', 1657.9858332846918)
('AKR2', 1657.9126781306854)
('MKK2', 1657.821012153398)
('UPC2', 1656.9410066600335)
('RPC82', 1656.4965851174018)
('YNL116W', 1654.772476677492)
('SPT14', 1654.4461358111473)
('YJL065C', 1650.4354272434541)
('SPC72', 1650.1488259752484)
('SIM1', 1649.1899322737358)
('MIH1', 1648.7332820157637)
('YAL053W', 1646.8745713887117)
('NTA1', 1645.2241675939408)
('ULP1', 1642.683987086463)
('HUL5', 1641.2443119105315)
('RRN7', 1638.2874784838552)
('CIN2', 1637.8755217773096)
('AGA1', 1637.614856140361)
('YGR071C', 1637.4547584439501)
('RML2', 1634.8214630361565)
('CLB3', 1634.2065092162989)
('ICY2', 1632.4132804117107)
('ORC6', 1632.3255663811044)
('YLR392C', 1623.8886589681952)
('DPB11', 1623.2859342864351)
('YIR014W', 1622.1041406488448)
('YMC2', 1621.720963521269)
('EXO1', 1619.654999403743)
('APJ1', 1618.8377193475676)
('YFR039C', 1618.0224524099315)
('YDR333C', 1617.8612545960702)
('SIF2', 1612.2431208946841)
('NTG1', 1605.6405520475428)
('GDS1', 1604.8311589741222)
('YDR314C', 1599.1997755604405)
('YDR444W', 1598.5432916921593)
('RAD16', 1598.5360105117213)
('YDR540C', 1596.2648842028368)
('PMS1', 1595.7853734876967)
('SOV1', 1593.8834545131058)
('YJL070C', 1592.0993656168007)
('COQ6', 1591.5054786327805)
('MIF2', 1590.3667137099944)
