Orf	Name	130min	170min	Overnight
YKL078W	DHR2	0.599516736	0.231702769	-0.727547075
YML082W	YML082W	0.025575006	-0.13157678	-0.37219243
YHL004W	MRP4	-0.145166106	0.876351183	0.208087707
YJR138W	IML1	-0.527073078	-0.331766666	0.454694034
YER167W	BCK2	-0.937019931	-0.560772328	1.789257847
YBR291C	CTP1	0.437492751	0.657496542	0.560288936
YNL122C	YNL122C	-0.380884378	-0.251091791	1.051541842
YMR218C	TRS130	0.42773634	0.52997293	2.322316409
YNL042W	BOP3	-0.261397444	0.180562795	-0.339313884
YOR002W	ALG6	-0.467112932	0.341709428	0.0805803
YHL019C	APM2	-0.439798198	0.045950501	0.893707629
YMR313C	TGL3	-1.194074572	-1.802395792	-1.457122149
YBR129C	OPY1	0.167148867	0.608631064	1.903067621
YOL030W	GAS5	-0.648898031	-0.473877935	0.054490602
YGR021W	YGR021W	0.036772051	0.138078924	0.409846366
YPL111W	CAR1	1.752773259	1.297137963	0.680984528
YBR041W	FAT1	-0.207669625	-0.031916034	0.430356917
YGL120C	PRP43	0.800641816	0.735451792	-1.473488682
YAL033W	POP5	1.306541277	1.072093828	0.149694258
YKR055W	RHO4	-0.677428704	-0.052309571	0.144461175
YML027W	YOX1	-1.031869427	0.109978524	-0.158694156
YOR273C	TPO4	NA	-1.910561074	0.378000164
YJR110W	YMR1	0.380065937	0.088523503	1.889027762
YAL009W	SPO7	0.79674625	0.124609894	-0.383557003
YJL143W	TIM17	-0.717976497	-0.199238137	-0.126303363
YBR274W	CHK1	1.677844431	0.926110146	-0.383441647
YDR314C	RAD34	-0.425716422	0.310376504	1.330617023
YAL034W-A	MTW1	NA	-1.031714768	0.378701716
YJL179W	PFD1	-0.029961185	0.328984704	0.225610753
YKR080W	MTD1	1.2947028	0.268897759	0.055423319
YBR111C	YSA1	0.38591917	0.411270736	-0.130430574
YKR029C	SET3	0.451783933	0.61657323	-0.221868896
YDL209C	CWC2	-0.348614375	0.352813817	0.177141324
YDR298C	ATP5	-0.643136354	-0.708270735	-0.619486479
YNR053C	NOG2	0.047071206	0.027948912	0.633311305
YOL097C	WRS1	0.324770421	-0.402901074	-0.372609082
YGL076C	RPL7A	-3.355925753	-1.254107467	NA
YNR004W	SWM2	0.582547984	0.342621214	1.072380382
YNL156C	NSG2	0.710448586	0.933762166	0.158843532
YPL221W	FLC1	NA	2.677967601	0.92918132
YPL144W	POC4	-0.259953255	-0.76423551	0.240333146
YER077C	YER077C	-0.727886845	-0.28269278	1.697100612
YMR148W	OSW5	-3.051412207	-2.846821974	-0.866452763
YIL055C	YIL055C	-0.282192643	0.366267401	-0.460777369
YHR146W	CRP1	-2.496026704	-3.228720013	-1.096647636
YPR081C	GRS2	-0.001921879	-0.37971229	-0.206532373
YGR174C	CBP4	0.121296388	-0.12725454	0.293862606
YDR221W	GTB1	0.084836915	0.451118727	0.830914221
YBR187W	GDT1	-0.575855909	-0.80288484	-0.194321604
YBR127C	VMA2	-0.704545545	-0.726654462	-0.657848715
YDR379W	RGA2	0.414779864	0.330638951	0.113640881
YBR030W	RKM3	-1.095215138	0.160464435	0.328669706
YDR208W	MSS4	1.012863048	0.758858944	-0.051477035
YBL093C	ROX3	-0.258342476	-0.317412464	-0.763280973
YOL055C	THI20	-0.219605396	-0.698706403	-0.607019203
YOR154W	SLP1	-0.390296633	0.115502145	-0.50150157
YJL088W	ARG3	-0.011707788	-2.874090349	-0.230948012
YDL135C	RDI1	0.024429734	-0.106111136	-0.549293279
YFL028C	CAF16	0.045550813	-1.220240374	-0.168501043
YPL016W	SWI1	0.326133222	1.155196006	2.729823128
YMR281W	GPI12	0.334597694	0.035008843	0.219698891
